date,t1,c1,p1,sal,sv
20211003T000537.716Z,9.4598,3.39952,97.309,31.2676,1484.916
20211003T000538.713Z,9.4598,3.39951,97.309,31.2676,1484.916
20211003T000539.752Z,9.4599,3.39951,97.309,31.2674,1484.916
20211003T000540.714Z,9.4601,3.39951,97.308,31.2673,1484.917
20211003T000541.728Z,9.4602,3.39949,97.308,31.2671,1484.916
20211003T000542.714Z,9.4601,3.39951,97.309,31.2673,1484.917
20211003T000543.800Z,9.46,3.3995,97.31,31.2674,1484.916
20211003T000544.714Z,9.4597,3.3995,97.309,31.2676,1484.915
20211003T000545.769Z,9.4595,3.39951,97.308,31.2678,1484.915
20211003T000546.729Z,9.4597,3.3995,97.309,31.2676,1484.915
20211003T000547.741Z,9.4599,3.3995,97.309,31.2674,1484.916
20211003T000548.714Z,9.4599,3.3995,97.308,31.2674,1484.916
20211003T000549.733Z,9.46,3.39952,97.308,31.2676,1484.916
20211003T000550.714Z,9.4601,3.39954,97.308,31.2677,1484.917
20211003T000551.720Z,9.4602,3.39956,97.309,31.2678,1484.918
20211003T000552.714Z,9.4605,3.39959,97.308,31.2679,1484.919
20211003T000553.757Z,9.4608,3.3996,97.309,31.2677,1484.919
20211003T000554.714Z,9.4609,3.39961,97.308,31.2676,1484.92
20211003T000555.746Z,9.461,3.39962,97.308,31.2677,1484.92
20211003T000556.715Z,9.4611,3.39963,97.308,31.2676,1484.921
20211003T000557.784Z,9.4612,3.39962,97.309,31.2675,1484.921
20211003T000558.714Z,9.4613,3.39963,97.309,31.2675,1484.921
20211003T000559.882Z,9.4614,3.39964,97.308,31.2675,1484.921
20211003T000600.716Z,9.4614,3.39964,97.308,31.2676,1484.921
20211003T000601.723Z,9.4614,3.39964,97.309,31.2676,1484.921
20211003T000602.714Z,9.4614,3.39965,97.308,31.2676,1484.922
20211003T000603.807Z,9.4615,3.39965,97.308,31.2676,1484.922
20211003T000604.715Z,9.4616,3.39965,97.308,31.2675,1484.922
20211003T000605.808Z,9.4617,3.39965,97.309,31.2673,1484.923
20211003T000606.713Z,9.4618,3.39965,97.308,31.2673,1484.923
20211003T000607.810Z,9.462,3.39966,97.309,31.2672,1484.923
20211003T000608.714Z,9.462,3.39966,97.308,31.2672,1484.923
20211003T000609.771Z,9.4619,3.39965,97.308,31.2672,1484.923
20211003T000610.718Z,9.4621,3.39965,97.309,31.2671,1484.923
20211003T000611.744Z,9.4621,3.39966,97.309,31.2671,1484.924
20211003T000612.714Z,9.462,3.39965,97.308,31.2671,1484.923
20211003T000613.881Z,9.462,3.39965,97.309,31.2672,1484.923
20211003T000614.714Z,9.4619,3.39966,97.307,31.2673,1484.923
20211003T000615.762Z,9.4619,3.39966,97.308,31.2673,1484.923
20211003T000616.714Z,9.462,3.39966,97.308,31.2672,1484.923
20211003T000617.718Z,9.462,3.39967,97.308,31.2674,1484.923
20211003T000618.717Z,9.462,3.39969,97.309,31.2674,1484.924
20211003T000619.807Z,9.4621,3.39967,97.308,31.2673,1484.924
